<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.04.17	09:00:00	9897.8360	9897.8360	9886.9980	9889.7140	310687	0	0
2019.04.17	10:00:00	9889.6910	9889.6910	9861.6780	9861.6780	422940	0	0
2019.04.17	11:00:00	9861.6620	9869.1390	9838.6180	9866.8560	752470	0	0
2019.04.17	12:00:00	9866.8560	9882.7580	9855.4000	9866.7700	703980	0	0
2019.04.17	13:00:00	9866.7580	9868.9660	9845.4680	9861.3920	643370	0	0
2019.04.17	14:00:00	9861.3910	9882.6890	9846.3860	9863.1530	714840	0	0
2019.04.17	15:00:00	9863.1360	9877.6030	9858.1610	9871.6030	798870	0	0
2019.04.17	16:00:00	9871.5900	9889.0480	9865.3200	9866.2210	652700	0	0
2019.04.17	17:00:00	9866.2120	9879.6350	9853.5240	9874.3770	795280	0	0
2019.04.17	18:00:00	9874.3740	9908.9530	9873.2120	9902.9850	821370	0	0
2019.04.17	19:00:00	9902.9820	9914.4820	9890.0800	9899.8420	679090	0	0
2019.04.17	20:00:00	9899.8360	9922.7460	9888.2610	9915.6800	863780	0	0
2019.04.17	21:00:00	9915.6760	9936.0700	9911.3330	9916.2250	725530	0	0
2019.04.17	22:00:00	9916.2120	9916.2120	9892.7430	9892.7430	480720	0	0
2019.04.17	23:00:00	9892.7190	9925.7490	9888.5020	9922.3740	1003580	0	0
2019.04.18	00:00:00	9922.3620	9922.7370	9898.1470	9898.1470	459550	0	0
2019.04.18	01:00:00	9898.1330	9927.5160	9885.6670	9923.4830	969920	0	0
2019.04.18	02:00:00	9923.4770	9941.7290	9917.2710	9936.5400	848020	0	0
2019.04.18	03:00:00	9936.5260	9945.1690	9917.7790	9917.7790	508110	0	0
2019.04.18	04:00:00	9917.7790	9935.1880	9916.4000	9920.9440	743690	0	0
2019.04.18	05:00:00	9920.9430	9967.3710	9913.9780	9962.4420	1123670	0	0
2019.04.18	06:00:00	9962.4390	9965.2040	9939.5540	9941.7900	515290	0	0
2019.04.18	07:00:00	9941.7670	9941.7670	9922.4510	9928.3580	573290	0	0
2019.04.18	08:00:00	9928.3400	9958.7820	9923.5110	9949.6390	907890	0	0
2019.04.18	09:00:00	9949.6170	9956.3530	9930.6740	9954.0320	748620	0	0
2019.04.18	10:00:00	9954.0270	9961.4660	9941.7690	9941.7690	572730	0	0
2019.04.18	11:00:00	9941.7610	9941.7610	9924.3570	9935.0780	660580	0	0
2019.04.18	12:00:00	9935.0630	9961.7440	9923.4590	9955.5930	914030	0	0
2019.04.18	13:00:00	9955.5920	9968.1850	9952.4040	9961.2180	770850	0	0
2019.04.18	14:00:00	9961.2020	9961.2020	9941.2390	9955.3910	663480	0	0
2019.04.18	15:00:00	9955.3830	9981.7910	9940.1350	9968.1130	652740	0	0
2019.04.18	16:00:00	9968.0950	9973.8960	9943.5760	9943.5760	462750	0	0
2019.04.18	17:00:00	9943.5610	9943.5610	9915.5700	9915.5700	429840	0	0
2019.04.18	18:00:00	9915.5490	9937.3330	9910.9850	9917.1220	724580	0	0
2019.04.18	19:00:00	9917.1160	9966.1320	9911.9900	9956.9550	1094770	0	0
2019.04.18	20:00:00	9956.9300	10011.9450	9956.3900	9989.9770	1046600	0	0
2019.04.18	21:00:00	9989.9740	10022.3370	9988.0620	9997.2850	789880	0	0
2019.04.18	22:00:00	9997.2690	9998.7260	9979.7860	9979.7860	533090	0	0
2019.04.18	23:00:00	9979.7810	9993.4560	9963.6980	9992.9460	838610	0	0
2019.04.19	00:00:00	9992.9430	9992.9430	9962.7120	9962.7120	403210	0	0
2019.04.19	01:00:00	9962.6970	9962.6970	9933.2800	9933.2800	350920	0	0
2019.04.19	02:00:00	9933.2710	9947.6150	9921.2380	9921.2380	585870	0	0
2019.04.19	03:00:00	9921.2330	9943.0330	9911.3560	9911.3560	621260	0	0
2019.04.19	04:00:00	9911.3540	9932.0680	9887.3210	9929.2020	871060	0	0
2019.04.19	05:00:00	9929.2000	9950.3950	9922.5180	9944.8820	862650	0	0
2019.04.19	06:00:00	9944.8780	9946.9840	9923.3740	9923.3740	486830	0	0
2019.04.19	07:00:00	9923.3670	9929.0490	9911.0910	9911.3460	484120	0	0
2019.04.19	08:00:00	9911.3420	9911.3420	9889.7650	9901.1060	603720	0	0
2019.04.19	09:00:00	9901.0770	9901.0770	9880.3120	9892.1110	605980	0	0
2019.04.19	10:00:00	9892.1000	9897.6640	9863.0950	9863.0950	408550	0	0
2019.04.19	11:00:00	9863.0930	9863.0930	9833.9410	9850.8710	575420	0	0
2019.04.19	12:00:00	9850.8630	9903.3520	9846.0490	9901.5850	1205570	0	0
2019.04.19	13:00:00	9901.5800	9941.4540	9891.1270	9936.6150	1049820	0	0
2019.04.19	14:00:00	9936.6100	9966.6050	9931.5720	9957.7600	910570	0	0
2019.04.19	15:00:00	9957.7560	9963.5520	9947.1550	9954.5020	679860	0	0
2019.04.19	16:00:00	9954.4860	9954.4860	9934.7840	9937.5590	536560	0	0
2019.04.19	17:00:00	9937.5490	9937.5490	9901.4850	9901.4850	354900	0	0
2019.04.19	18:00:00	9901.4610	9901.4610	9880.8170	9890.6260	594990	0	0
2019.04.19	19:00:00	9890.6140	9895.1950	9864.0190	9864.0190	452520	0	0
2019.04.19	20:00:00	9864.0180	9864.0180	9837.6120	9837.6120	438190	0	0
2019.04.19	21:00:00	9837.5990	9837.5990	9807.6460	9807.6460	413230	0	0
2019.04.19	22:00:00	9807.6310	9807.6310	9781.0630	9781.0630	429320	0	0
2019.04.19	23:00:00	9781.0560	9781.0560	9749.3250	9770.5220	577870	0	0
2019.04.20	00:00:00	9770.5200	9849.6790	9769.8940	9848.3530	1357110	0	0
2019.04.20	01:00:00	9848.3460	9877.7750	9838.7700	9867.7980	921760	0	0
2019.04.20	02:00:00	9867.7920	9867.7920	9835.9120	9847.2560	498050	0	0
2019.04.20	03:00:00	9847.2420	9847.2420	9817.7830	9817.7830	412330	0	0
2019.04.20	04:00:00	9817.7650	9836.2160	9812.3940	9827.5710	804990	0	0
2019.04.20	05:00:00	9827.5700	9841.1790	9813.3170	9826.3870	679570	0	0
2019.04.20	06:00:00	9826.3690	9856.6650	9821.3000	9831.6180	745260	0	0
2019.04.20	07:00:00	9831.6050	9834.6910	9815.0310	9815.0310	500310	0	0
2019.04.20	08:00:00	9815.0240	9827.9500	9804.9270	9826.1090	813620	0	0
2019.04.20	09:00:00	9826.0920	9854.6390	9820.6710	9826.2540	696440	0	0
2019.04.20	10:00:00	9826.2380	9833.1710	9813.4000	9824.9710	687340	0	0
2019.04.20	11:00:00	9824.9630	9838.9380	9811.5640	9811.5640	584850	0	0
2019.04.20	12:00:00	9811.5570	9824.2770	9796.7720	9816.5730	733560	0	0
2019.04.20	13:00:00	9816.5660	9826.4560	9802.5530	9802.5530	507750	0	0
2019.04.20	14:00:00	9802.5440	9852.3950	9796.6490	9843.5770	1099510	0	0
2019.04.20	15:00:00	9843.5700	9856.0220	9826.3770	9854.5310	809250	0	0
2019.04.20	16:00:00	9854.5120	9895.7670	9848.7490	9882.3290	1004820	0	0
2019.04.20	17:00:00	9882.3190	9899.7580	9870.7270	9895.6810	826110	0	0
2019.04.20	18:00:00	9895.6790	9898.2380	9877.0990	9892.8620	680080	0	0
2019.04.20	19:00:00	9892.8520	9902.5940	9884.2470	9888.6660	539130	0	0
2019.04.20	20:00:00	9888.6610	9944.2040	9885.0780	9940.6790	1226560	0	0
2019.04.20	21:00:00	9940.6740	9940.6740	9919.2360	9933.4530	649270	0	0
2019.04.20	22:00:00	9933.4420	9952.8990	9932.2070	9932.3000	697940	0	0
2019.04.20	23:00:00	9932.2790	9940.2330	9914.1700	9914.8260	527480	0	0
2019.04.21	00:00:00	9914.8220	9928.0670	9910.2930	9926.3430	823630	0	0
2019.04.21	01:00:00	9926.3350	9926.3350	9901.1690	9909.1390	489290	0	0
2019.04.21	02:00:00	9909.1220	9957.6910	9891.2400	9956.7180	1185100	0	0
2019.04.21	03:00:00	9956.7140	9964.0570	9942.0730	9944.7150	589160	0	0
2019.04.21	04:00:00	9944.6990	9971.0210	9934.6940	9954.8090	810290	0	0
2019.04.21	05:00:00	9954.7970	9958.4930	9934.3100	9943.0650	595370	0	0
2019.04.21	06:00:00	9943.0500	9943.0500	9911.9050	9911.9050	407230	0	0
2019.04.21	07:00:00	9911.8970	9915.1390	9890.4790	9890.4790	491560	0	0
2019.04.21	08:00:00	9890.4620	9890.4620	9866.5450	9866.5450	480250	0	0
2019.04.21	09:00:00	9866.5320	9927.1080	9854.7380	9912.3020	1153500	0	0
2019.04.21	10:00:00	9912.2920	9912.2920	9892.3080	9892.3080	510380	0	0
2019.04.21	11:00:00	9892.3000	9892.3000	9869.6520	9875.9660	550130	0	0
2019.04.21	12:00:00	9875.9550	9891.0400	9864.6810	9867.0210	628130	0	0
2019.04.21	13:00:00	9867.0150	9867.0150	9832.3800	9832.3800	354950	0	0
2019.04.21	14:00:00	9832.3720	9838.4740	9821.8830	9831.0420	693590	0	0
2019.04.21	15:00:00	9831.0370	9860.0590	9826.2400	9852.4580	908610	0	0
2019.04.21	16:00:00	9852.4460	9853.3260	9838.2180	9846.3430	636110	0	0
2019.04.21	17:00:00	9846.3420	9853.3920	9821.6340	9821.6340	464230	0	0
2019.04.21	18:00:00	9821.6280	9853.6330	9816.2180	9848.1550	958210	0	0
2019.04.21	19:00:00	9848.1520	9848.1520	9828.6920	9841.9650	651550	0	0
2019.04.21	20:00:00	9841.9470	9846.4740	9827.3410	9836.1700	639730	0	0
2019.04.21	21:00:00	9836.1620	9836.1620	9810.9810	9828.0780	616510	0	0
2019.04.21	22:00:00	9828.0660	9876.5570	9814.3060	9872.5080	1148010	0	0
2019.04.21	23:00:00	9872.4940	9881.5650	9861.2710	9880.8310	796880	0	0
2019.04.22	00:00:00	9880.8190	9880.8190	9861.0660	9873.1500	625360	0	0
2019.04.22	01:00:00	9873.1450	9873.1450	9846.0920	9849.8120	479690	0	0
2019.04.22	02:00:00	9849.7830	9873.3220	9838.7210	9872.1420	932400	0	0
2019.04.22	03:00:00	9872.1310	9885.0730	9865.4370	9865.4370	647080	0	0
2019.04.22	04:00:00	9865.4340	9879.6020	9848.5360	9872.0380	775480	0	0
2019.04.22	05:00:00	9872.0300	9872.0300	9842.5960	9848.4060	461740	0	0
2019.04.22	06:00:00	9848.4040	9848.6760	9822.1780	9822.1780	447320	0	0
2019.04.22	07:00:00	9822.1720	9838.2580	9819.6290	9824.1430	655012	0	0
2019.04.22	08:00:00	9824.1380	9825.5280	9797.1800	9820.0990	663170	0	0
2019.04.22	09:00:00	9820.0920	9826.5790	9804.6150	9824.9840	733530	0	0
2019.04.22	10:00:00	9824.9700	9837.0590	9813.9740	9819.0410	638560	0	0
2019.04.22	11:00:00	9819.0400	9854.5140	9815.2010	9839.8690	913310	0	0
2019.04.22	12:00:00	9839.8660	9863.8420	9839.3720	9847.1540	765640	0	0
2019.04.22	13:00:00	9847.1520	9859.3020	9834.8050	9857.5430	798259	0	0
2019.04.22	14:00:00	9857.5380	9857.5380	9828.1560	9848.5240	616110	0	0
2019.04.22	15:00:00	9848.5100	9878.5970	9842.9620	9854.3160	763860	0	0
2019.04.22	16:00:00	9854.3130	9858.6900	9839.1910	9850.3950	657700	0	0
2019.04.22	17:00:00	9850.3920	9865.1530	9840.3170	9853.5050	750930	0	0
2019.04.22	18:00:00	9853.4980	9853.4980	9823.2700	9823.2700	399200	0	0
2019.04.22	19:00:00	9823.2650	9836.9070	9810.4330	9810.4330	568670	0	0
2019.04.22	20:00:00	9810.4150	9817.4100	9794.8770	9811.7280	703530	0	0
2019.04.22	21:00:00	9811.7110	9811.7110	9797.1050	9798.6440	572870	0	0
2019.04.22	22:00:00	9798.6410	9840.3040	9793.0200	9829.9600	1023380	0	0
2019.04.22	23:00:00	9829.9550	9832.6920	9811.5300	9811.5300	509460	0	0
2019.04.23	00:00:00	9811.5280	9811.5280	9785.2800	9785.2800	428990	0	0
2019.04.23	01:00:00	9785.2780	9790.3570	9770.7780	9780.4360	652500	0	0
2019.04.23	02:00:00	9780.4230	9844.9510	9773.9750	9839.0580	1275440	0	0
2019.04.23	03:00:00	9839.0520	9869.8800	9829.6880	9854.5800	842320	0	0
2019.04.23	04:00:00	9854.5690	9854.5690	9818.6910	9818.6910	353530	0	0
2019.04.23	05:00:00	9818.6880	9820.8760	9801.9660	9807.0890	589180	0	0
2019.04.23	06:00:00	9807.0830	9812.3120	9797.0110	9797.0110	588950	0	0
2019.04.23	07:00:00	9797.0070	9840.5470	9795.0120	9830.5190	1028200	0	0
2019.04.23	08:00:00	9830.5180	9877.4550	9825.3040	9871.2970	1116450	0	0
2019.04.23	09:00:00	9871.2850	9871.2850	9848.1840	9853.9280	533960	0	0
2019.04.23	10:00:00	9853.9240	9867.0070	9845.7420	9855.0800	729110	0	0
2019.04.23	11:00:00	9855.0780	9855.0780	9828.4220	9831.4400	447870	0	0
2019.04.23	12:00:00	9831.4280	9831.4280	9810.1240	9810.1240	477570	0	0
2019.04.23	13:00:00	9810.1030	9810.1030	9780.9820	9799.6610	591860	0	0
2019.04.23	14:00:00	9799.6500	9833.1190	9792.6650	9812.7130	833350	0	0
2019.04.23	15:00:00	9812.6990	9812.6990	9785.0180	9797.3090	546030	0	0
2019.04.23	16:00:00	9797.3050	9815.6640	9786.7840	9801.8440	750770	0	0
2019.04.23	17:00:00	9801.8440	9810.8570	9790.3540	9798.4400	660500	0	0
2019.04.23	18:00:00	9798.4330	9808.0210	9788.8280	9795.4760	674720	0	0
2019.04.23	19:00:00	9795.4620	9829.8320	9782.3020	9815.7310	910450	0	0
2019.04.23	20:00:00	9815.7110	9827.4400	9800.5180	9814.1640	685180	0	0
2019.04.23	21:00:00	9814.1470	9820.5870	9799.0240	9813.1470	691180	0	0
2019.04.23	22:00:00	9813.1330	9819.0640	9793.6700	9812.1100	673080	0	0
2019.04.23	23:00:00	9812.0950	9816.7770	9799.3550	9801.9850	410800	0	0
2019.04.24	00:00:00	9801.9620	9818.7460	9796.5440	9796.5440	638960	0	0
2019.04.24	01:00:00	9796.5350	9796.5350	9771.0620	9771.0620	450640	0	0
2019.04.24	02:00:00	9771.0530	9781.0040	9752.8930	9767.6490	623966	0	0
2019.04.24	03:00:00	9767.6380	9767.6380	9744.5960	9751.7240	3498	0	970
2019.04.24	04:00:00	9751.7140	9761.0960	9741.5470	9741.5470	3506	0	970
2019.04.24	05:00:00	9741.5250	9742.2450	9717.1780	9717.1780	3485	0	970
2019.04.24	06:00:00	9717.1670	9728.6580	9705.9810	9724.5740	3504	0	970
2019.04.24	07:00:00	9724.5630	9724.5630	9691.6550	9691.6550	3484	0	960
2019.04.24	08:00:00	9691.6390	9692.7250	9668.7990	9668.7990	3494	0	960
